id;avg_net_income;unemployment_count;unemployment_percentage;population;dateID;districtID;sexID
584;16630;1956;0.06238;89461;8;10;2
585;18695;4857;0.08066;87462;8;11;0
586;20333;2876;0.09632;87462;8;11;1
587;16884;1981;0.06526;87462;8;11;2
588;27656;1360;0.04352;51015;8;12;0
589;33933;759;0.05164;51015;8;12;1
590;21695;601;0.0363;51015;8;12;2
591;21692;3570;0.06258;84090;8;13;0
592;24483;2115;0.07617;84090;8;13;1
593;18889;1455;0.0497;84090;8;13;2
594;16571;4157;0.08067;70830;8;14;0
595;17676;2568;0.09815;70830;8;14;1
596;15323;1589;0.06264;70830;8;14;2
597;18550;4778;0.07178;94816;8;15;0
598;19979;3008;0.0904;94816;8;15;1
599;16979;1770;0.05317;94816;8;15;2
600;19845;2444;0.0668;52328;8;16;0
601;22272;1536;0.08462;52328;8;16;1
602;17272;908;0.04925;52328;8;16;2
603;24232;1639;0.05095;47693;8;17;0
604;29104;960;0.06285;47693;8;17;1
605;19574;679;0.04019;47693;8;17;2
606;25539;1940;0.04531;67865;8;18;0
607;31191;1129;0.05551;67865;8;18;1
608;19902;812;0.03609;67865;8;18;2
609;17455;4329;0.07542;82083;8;19;0
610;18722;2648;0.09174;82083;8;19;1
611;15993;1681;0.0589;82083;8;19;2
612;20218;6370;0.06706;140647;8;20;0
613;22707;3763;0.08139;140647;8;20;1
614;17613;2608;0.05348;140647;8;20;2
615;21934;5112;0.04789;155527;8;21;0
616;25203;2833;0.05505;155527;8;21;1
617;18591;2279;0.04122;155527;8;21;2
618;23242;3317;0.05458;92252;8;22;0
619;27229;1843;0.06391;92252;8;22;1
620;19273;1474;0.04615;92252;8;22;2
621;34333;317;0.02947;16385;9;0;0
622;42585;173;0.03247;16385;9;0;1
623;25605;144;0.02654;16385;9;0;2
624;18838;5013;0.07521;95302;9;1;0
625;20437;3124;0.09217;95302;9;1;1
626;17047;1889;0.05767;95302;9;1;2
627;22054;3900;0.06597;83955;9;2;0
628;25152;2245;0.07781;83955;9;2;1
629;18898;1656;0.05468;83955;9;2;2
630;23672;1086;0.05014;30541;9;3;0
631;27557;614;0.05821;30541;9;3;1
632;19862;472;0.04249;30541;9;3;2
633;18532;2737;0.07069;52753;9;4;0
634;20023;1650;0.0846;52753;9;4;1
635;16928;1087;0.05658;52753;9;4;2
